siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
333966315;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ANTIPODES MEDIAS;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
334065695;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;MEDIATHEQUE REGIONALE BASSE NORMANDIE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
334247095;ess_france|sirene;ess_numerique;siren_direct;;LOGISUD SERVI INGENI LOGICIEL;;;;;62.01Z;;;;;;;;;;;True;dev_logiciel
334256344;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ARPEJ ASSO ART PAYSAGES JARDIN;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
334356342;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CLUB INFORMATIQ QUARTIER LEBON;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
334413770;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;TOMBELAINE BRETAGNE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
334487337;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;GESTFORM;;;;;63.11Z;32;9220.0;;;;;;;;association;True;hebergement
334643749;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ART SPORT ET INDUSTRIE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
334783545;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;UNION COMMERCIALE AUTUNOISE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
335159141;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;SAVOIR;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
337791776;sirene;cate_juridique;siren_direct;;INTERNATIONAL CLUB 77;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
337832885;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;MIAG PERFORM;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
338166978;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;INSTIT PSYCHOSOMATO PEDAGOGIE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
338300775;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASSOCIATION INFOR ELEVAGE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
338556590;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTRE GENEALOGIQUE DU FINISTERE;;;;;63.11Z;2;9220.0;;;;;;;;association;True;hebergement
